id,tag,level,question_kr,question_en
48,영화 보기,6,당신이 영화감독이라면 어떤 영화를 만들고 싶나요?,"If you were a director, what kind of movie would you make?"
49,자전거,4,자전거를 탈 줄 아시나요?,Can you ride a bicycle?
50,자전거,4,자전거를 얼마나 자주 타시나요?,How often do you ride a bicycle?
51,자전거,4,어디서 자전거를 주로 타시나요?,Where do you usually ride your bike?
52,자전거,4,"자전거를 혼자 타는 걸 좋아하나요, 함께 타는 걸 좋아하나요?",Do you prefer riding a bike alone or with others?
53,자전거,4,자전거를 처음 배운 시기를 기억하시나요?,Do you remember when you first learned to ride a bike?
54,자전거,5,자전거를 타면서 겪은 기억에 남는 일이 있나요?,Do you have a memorable experience while riding a bike?
55,자전거,5,당신이 선호하는 자전거 코스는 어떤 곳인가요?,What kind of bike routes do you prefer?
56,자전거,5,자전거를 타면서 느끼는 장점은 무엇인가요?,What are the benefits you feel when riding a bike?
57,자전거,5,자전거를 타면서 겪은 위험한 순간이 있었나요?,Have you ever had a dangerous moment while riding?
58,자전거,5,"자전거를 운동의 일환으로 생각하나요, 아니면 취미인가요?",Do you consider biking a form of exercise or just a hobby?
59,자전거,6,자전거 타기가 당신의 삶에 어떤 영향을 주었는지 설명해주세요.,How has biking influenced your life?
60,자전거,6,자전거를 타고 여행한 경험이 있다면 그 과정을 자세히 설명해주세요.,Describe in detail your experience traveling by bicycle.
61,자전거,6,기후나 계절에 따라 자전거 타는 습관이 어떻게 달라지나요?,How does weather or season affect your biking habits?
62,자전거,6,자전거 문화가 잘 발달된 도시를 방문한 경험이 있나요? 인상 깊었던 점은요?,Have you been to a city with a strong biking culture? What impressed you?
63,자전거,6,자전거 이용을 늘리기 위한 사회적 지원은 무엇이 필요하다고 생각하나요?,What kind of public support do you think is needed to encourage bike use?
64,책 읽기,4,최근에 읽은 책이 있나요?,Have you read any books recently?
65,책 읽기,4,주로 어떤 장르의 책을 읽나요?,What genre of books do you usually read?
66,책 읽기,4,하루에 보통 얼마 동안 책을 읽나요?,How much time do you usually spend reading in a day?
67,책 읽기,4,종이책과 전자책 중 무엇을 선호하나요?,Do you prefer physical books or e-books?
68,책 읽기,4,보통 책을 어디서 읽나요?,Where do you usually read books?
69,책 읽기,5,기억에 남는 책 한 권에 대해 이야기해주세요.,Tell me about a book that left a strong impression on you.
70,책 읽기,5,좋아하는 작가가 있다면 누구인가요? 이유는요?,Who is your favorite author and why?
71,책 읽기,5,책을 읽고 감정이 바뀐 적이 있나요?,Have you ever had your emotions changed by a book?
72,책 읽기,5,친구나 가족에게 책을 추천해본 적이 있나요?,Have you ever recommended a book to someone?
73,책 읽기,5,책을 통해 배운 가장 중요한 교훈은 무엇인가요?,What is the most important lesson you have learned from a book?
74,책 읽기,6,책을 통해 삶의 관점이 바뀐 적이 있다면 이야기해주세요.,Share a time when a book changed your perspective on life.
75,책 읽기,6,특정 책이 당신의 사고방식에 어떤 영향을 주었나요?,How did a specific book influence your way of thinking?
76,책 읽기,6,영화로 만들고 싶은 책이 있다면 어떤 장면을 강조하고 싶나요?,"If you could make a book into a movie, what scene would you highlight?"
77,책 읽기,6,다시 읽고 싶은 책이 있다면 이유는 무엇인가요?,What book would you like to read again and why?
78,책 읽기,6,독서를 통해 스트레스를 해소했던 경험이 있다면 말해주세요.,Tell me about a time when reading helped you relieve stress.
79,쇼핑하기,4,쇼핑은 얼마나 자주 하나요?,How often do you go shopping?
80,쇼핑하기,4,보통 어떤 물건을 사나요?,What kinds of things do you usually buy?
81,쇼핑하기,4,온라인 쇼핑과 오프라인 쇼핑 중 어떤 걸 더 좋아하나요?,Do you prefer online or offline shopping?
82,쇼핑하기,4,"쇼핑을 혼자 하는 걸 좋아하나요, 함께 하는 걸 좋아하나요?",Do you prefer shopping alone or with someone?
83,쇼핑하기,4,쇼핑할 때 가장 중요하게 생각하는 요소는 무엇인가요?,What is the most important factor when you shop?
84,쇼핑하기,5,기억에 남는 쇼핑 경험이 있다면 이야기해주세요.,Tell me about a memorable shopping experience.
85,쇼핑하기,5,실패한 쇼핑 경험이 있다면 말해주세요.,Have you ever had a failed shopping experience?
86,쇼핑하기,5,세일이나 할인 기간에 쇼핑을 많이 하시나요?,Do you usually shop more during sales or discount events?
87,쇼핑하기,5,쇼핑할 때 구매 결정에 영향을 주는 요소는 무엇인가요?,"What influences your decision when shopping (ads, reviews, etc.)?"
88,쇼핑하기,5,쇼핑이 기분을 좋게 만든 적이 있나요?,Has shopping ever improved your mood?
89,쇼핑하기,6,소비 습관이 당신의 삶에 어떤 영향을 준다고 생각하나요?,How do you think your spending habits affect your life?
90,쇼핑하기,6,충동구매를 했던 경험과 그 결과에 대해 이야기해주세요.,Talk about an impulse purchase you made and what happened.
91,쇼핑하기,6,환경을 생각한 쇼핑을 한 적이 있나요? 어떤 제품이었나요?,Have you ever made an eco-friendly purchase? What was it?
92,쇼핑하기,6,쇼핑을 통해 자신을 보상한다고 느낀 적이 있나요?,Have you ever felt that shopping was a way to reward yourself?
93,쇼핑하기,6,당신의 쇼핑 습관이 가족이나 친구와 어떻게 다른가요?,How is your shopping style different from that of your family or friends?
94,크로켓,4,크로켓를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,What do you enjoy the most about croquet?
95,미식축구,5,미식축구를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does American football have on your daily life or mood?
96,주거 개선,5,주거 개선를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,What impact does improving living space have on your daily life or mood?
97,스키/스노보드,4,스키/스노보드를 하게 된 특별한 계기가 있었나요?,Do you prefer to do skiing/snowboarding alone or with others? Why?
98,태권도,4,태권도를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,Do you prefer to do 태권도 alone or with others? Why?
99,집에서 보내는 휴가,5,집에서 보내는 휴가와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,Have you ever recommended staycations to someone? What was their reaction?
100,자전거,6,자전거를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,"If you couldn’t enjoy biking anymore, what would you replace it with and why?"
101,자원봉사,5,자원봉사를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,"What challenges have you faced while doing volunteering, and how did you overcome them?"
102,국내 여행,5,국내 여행를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,Have you ever recommended domestic travel to someone? What was their reaction?
103,혼자 노래 부르거나 합창,5,혼자 노래 부르거나 합창를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,Have you ever recommended singing alone or in choir to someone? What was their reaction?
104,TV시청 하기,4,TV시청 하기는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in watching TV and where do you usually go?
105,농구,6,농구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Describe a memorable or unusual experience related to basketball.
106,공원 가기,4,공원 가기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Do you prefer to do going to parks alone or with others? Why?
107,미식축구,4,미식축구를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy American football.
108,해외출장,6,해외출장와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Compare business trips abroad with another hobby you enjoy. What are the key differences?
109,수영,4,수영는 평소에 어떤 방식으로 즐기시나요?,When did you first start swimming and why?
110,국내출장,5,국내출장를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How has your interest in business trips in Korea changed over time?
111,춤추기,4,춤추기를 하게 된 특별한 계기가 있었나요?,How often do you engage in dancing and where do you usually go?
112,운동 수업 수강하기,4,운동 수업 수강하기를 즐기기에 가장 좋은 장소는 어디인가요?,When did you first start taking fitness classes and why?
113,걷기,4,걷기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Do you prefer to do walking alone or with others? Why?
114,춤추기,5,춤추기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing dancing, and how did you overcome them?"
115,차 드라이브 하기,6,차 드라이브 하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Describe a memorable or unusual experience related to driving.
116,"하이킹, 트레킹",6,"하이킹, 트레킹와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.",How would you introduce hiking/trekking to someone from another country?
117,체스 하기,5,체스 하기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,"What challenges have you faced while doing 체스 하기, and how did you overcome them?"
118,배구,4,배구를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Describe a typical time when you enjoy volleyball.
119,요리하기,4,요리하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,Do you prefer to do cooking alone or with others? Why?
120,체스 하기,4,체스 하기는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in 체스 하기 and where do you usually go?
121,TV시청 하기,6,TV시청 하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy watching TV anymore, what would you replace it with and why?"
122,리얼리티 쇼 시청,4,리얼리티 쇼 시청를 하게 된 특별한 계기가 있었나요?,How often do you engage in watching reality shows and where do you usually go?
123,여행 관련 잡지나 블로그 읽기,6,여행 관련 잡지나 블로그 읽기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy reading travel blogs or magazines anymore, what would you replace it with and why?"
124,박물관 가기,6,박물관 가기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,What social or cultural significance does visiting museums have in your country?
125,애완동물 키우기,5,애완동물 키우기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,How has your interest in raising pets changed over time?
126,리얼리티 쇼 시청,5,리얼리티 쇼 시청를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing watching reality shows, and how did you overcome them?"
127,자원봉사,6,자원봉사와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce volunteering to someone from another country?
128,탁구,6,탁구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare table tennis with another hobby you enjoy. What are the key differences?
129,골프,6,골프를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Compare golf with another hobby you enjoy. What are the key differences?
130,집에서 보내는 휴가,6,집에서 보내는 휴가와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce staycations to someone from another country?
131,여행 관련 잡지나 블로그 읽기,6,여행 관련 잡지나 블로그 읽기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy reading travel blogs or magazines anymore, what would you replace it with and why?"
132,헬스,4,헬스를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start working out and why?
133,콘서트 보기,6,콘서트 보기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,"If you couldn’t enjoy attending concerts anymore, what would you replace it with and why?"
134,공연 보기,6,공연 보기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Describe a memorable or unusual experience related to watching performances.
135,배구,4,배구를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about volleyball?
136,당구 치기,5,당구 치기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,"What challenges have you faced while doing playing billiards, and how did you overcome them?"
137,독서,6,독서를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Compare reading books with another hobby you enjoy. What are the key differences?
138,글쓰기,4,글쓰기를 즐기기에 가장 좋은 장소는 어디인가요?,When did you first start writing and why?
139,리얼리티 쇼 시청,4,리얼리티 쇼 시청를 하게 된 특별한 계기가 있었나요?,Describe a typical time when you enjoy watching reality shows.
140,요리 관련 프로그램 시청,4,요리 관련 프로그램 시청를 하게 된 특별한 계기가 있었나요?,When did you first start watching cooking shows and why?
141,TV시청 하기,5,TV시청 하기와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,Have you ever recommended watching TV to someone? What was their reaction?
142,골프,4,골프를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start golf and why?
143,미식축구,5,미식축구를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,How do you balance your schedule to continue doing American football regularly?
144,낚시,6,"낚시를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.","If you couldn’t enjoy fishing anymore, what would you replace it with and why?"
145,클럽/나이트클럽 가기,4,클럽/나이트클럽 가기를 하게 된 특별한 계기가 있었나요?,Do you prefer to do going to clubs or nightclubs alone or with others? Why?
146,독서,5,독서를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,Have you ever recommended reading books to someone? What was their reaction?
147,춤추기,5,춤추기를 꾸준히 하기 위해 어떤 노력을 하시나요?,Have you ever recommended dancing to someone? What was their reaction?
148,미식축구,6,미식축구를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare American football with another hobby you enjoy. What are the key differences?
149,그림 그리기,4,그림 그리기를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about drawing?
150,자전거,6,자전거와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Compare biking with another hobby you enjoy. What are the key differences?
151,주식 투자,5,주식 투자를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing stock investing, and how did you overcome them?"
152,애완동물 키우기,5,애완동물 키우기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,How do you balance your schedule to continue doing raising pets regularly?
153,해외출장,4,해외출장는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in business trips abroad and where do you usually go?
154,음악 감상하기,4,음악 감상하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about listening to music?
155,조깅,4,조깅를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about jogging?
156,악기 연주하기,6,"악기 연주하기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Describe a memorable or unusual experience related to playing musical instruments.
157,리얼리티 쇼 시청,6,리얼리티 쇼 시청가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,What social or cultural significance does watching reality shows have in your country?
158,야구/소프트볼,6,"야구/소프트볼를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",How would you introduce baseball/softball to someone from another country?
159,박물관 가기,5,박물관 가기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,"What challenges have you faced while doing visiting museums, and how did you overcome them?"
160,공연 보기,5,공연 보기를 통해 자신이 성장했다고 느낀 적이 있나요? 어떤 점에서 그렇다고 느끼셨나요?,Have you ever recommended watching performances to someone? What was their reaction?
161,신문 읽기,6,신문 읽기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy reading newspapers anymore, what would you replace it with and why?"
162,배드민턴,4,배드민턴를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,When did you first start badminton and why?
163,아이에게 책 읽어주기,5,아이에게 책 읽어주기와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing reading to children regularly?
164,농구,4,농구는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in basketball and where do you usually go?
165,스키/스노보드,6,"스키/스노보드를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Compare skiing/snowboarding with another hobby you enjoy. What are the key differences?
166,박물관 가기,5,박물관 가기를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does visiting museums have on your daily life or mood?
167,SNS에 글 올리기,5,SNS에 글 올리기를 꾸준히 하기 위해 어떤 노력을 하시나요?,How do you balance your schedule to continue doing posting on social media regularly?
168,아이스 스케이트,4,아이스 스케이트를 하게 된 특별한 계기가 있었나요?,Describe a typical time when you enjoy ice skating.
169,요리하기,6,요리하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,What social or cultural significance does cooking have in your country?
170,크로켓,4,크로켓를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,When did you first start croquet and why?
171,당구 치기,5,당구 치기와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing playing billiards regularly?
172,농구,6,농구가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare basketball with another hobby you enjoy. What are the key differences?
173,미식축구,4,미식축구를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,How often do you engage in American football and where do you usually go?
174,아이스 스케이트,4,아이스 스케이트를 즐기기에 가장 좋은 장소는 어디인가요?,What do you enjoy the most about ice skating?
175,배구,4,배구는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in volleyball and where do you usually go?
176,차 드라이브 하기,6,차 드라이브 하기가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,Compare driving with another hobby you enjoy. What are the key differences?
177,시험 대비 과정 수강,5,시험 대비 과정 수강를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,What impact does taking test prep courses have on your daily life or mood?
178,배구,5,배구를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How do you balance your schedule to continue doing volleyball regularly?
179,크로켓,4,크로켓를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy croquet.
180,시험 대비 과정 수강,6,시험 대비 과정 수강를 통해 알게 된 자신만의 강점이나 능력이 있다면 무엇인가요?,Compare taking test prep courses with another hobby you enjoy. What are the key differences?
181,탁구,6,탁구와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce table tennis to someone from another country?
182,쇼핑하기,6,쇼핑하기와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Describe a memorable or unusual experience related to shopping.
183,공연 보기,4,공연 보기를 하면서 느끼는 감정을 구체적으로 설명해 주세요.,How often do you engage in watching performances and where do you usually go?
184,야구/소프트볼,4,야구/소프트볼는 평소에 어떤 방식으로 즐기시나요?,How often do you engage in baseball/softball and where do you usually go?
185,수영,6,수영를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Compare swimming with another hobby you enjoy. What are the key differences?
186,시험 대비 과정 수강,5,시험 대비 과정 수강를 하면서 생긴 사회적 관계나 인연이 있다면 어떤 것이 있나요?,How has your interest in taking test prep courses changed over time?
187,시험 대비 과정 수강,5,시험 대비 과정 수강를 꾸준히 하기 위해 어떤 노력을 하시나요?,Have you ever recommended taking test prep courses to someone? What was their reaction?
188,스키/스노보드,6,스키/스노보드와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,How would you introduce skiing/snowboarding to someone from another country?
189,술집/바에 가기,5,술집/바에 가기를 꾸준히 하기 위해 어떤 노력을 하시나요?,How has your interest in going to pubs or bars changed over time?
190,테니스,6,테니스와 관련된 커뮤니티 활동이나 단체 참여 경험이 있다면 소개해 주세요.,Compare tennis with another hobby you enjoy. What are the key differences?
191,주거 개선,6,주거 개선를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,Describe a memorable or unusual experience related to improving living space.
192,운동 수업 수강하기,4,운동 수업 수강하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,When did you first start taking fitness classes and why?
193,공원 가기,6,공원 가기를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,What social or cultural significance does going to parks have in your country?
194,시험 대비 과정 수강,4,시험 대비 과정 수강를 하게 된 특별한 계기가 있었나요?,When did you first start taking test prep courses and why?
195,스키/스노보드,5,스키/스노보드를 꾸준히 하기 위해 어떤 노력을 하시나요?,What impact does skiing/snowboarding have on your daily life or mood?
196,골프,6,골프를 통해 삶의 태도나 가치관이 바뀐 경험이 있다면 말씀해 주세요.,How would you introduce golf to someone from another country?
197,요가,4,요가는 평소에 어떤 방식으로 즐기시나요?,What do you enjoy the most about yoga?
198,시험 대비 과정 수강,4,시험 대비 과정 수강를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy taking test prep courses.
199,자원봉사,4,자원봉사를 하게 된 특별한 계기가 있었나요?,How often do you engage in volunteering and where do you usually go?
200,농구,4,농구를 즐기기에 가장 좋은 장소는 어디인가요?,Describe a typical time when you enjoy basketball.
201,테니스,5,테니스와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing tennis regularly?
202,리얼리티 쇼 시청,5,리얼리티 쇼 시청를 꾸준히 하기 위해 어떤 노력을 하시나요?,What impact does watching reality shows have on your daily life or mood?
203,해외출장,5,해외출장와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,What impact does business trips abroad have on your daily life or mood?
204,글쓰기,6,"글쓰기를 중단했던 적이 있다면, 그 이유와 다시 시작하게 된 계기를 말씀해 주세요.",Compare writing with another hobby you enjoy. What are the key differences?
205,집에서 보내는 휴가,5,집에서 보내는 휴가와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing staycations regularly?
206,게임하기,4,게임하기를 즐길 때 필요한 물건이나 도구가 있다면 어떤 것이 있나요?,What do you enjoy the most about 게임하기?
207,미식축구,5,미식축구와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How do you balance your schedule to continue doing American football regularly?
208,아이스 스케이트,5,아이스 스케이트와 관련된 특별한 기억이나 에피소드가 있다면 말씀해 주세요.,How has your interest in ice skating changed over time?
209,배드민턴,4,배드민턴를 하게 된 특별한 계기가 있었나요?,How often do you engage in badminton and where do you usually go?
210,배구,6,배구가 다른 사람들과 교류하는 데 어떤 역할을 했는지 구체적으로 말씀해 주세요.,"If you couldn’t enjoy volleyball anymore, what would you replace it with and why?"
211,음악 감상하기,5,음악 감상하기를 할 때 가장 성취감을 느끼는 순간은 언제인가요?,What impact does listening to music have on your daily life or mood?
